Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Container Status,SKU,ASIN,PO Number,LOT number,Supplier Name,ETA to Port,CBM/Line,Units,Delivery Date,Delivery Time,MFG DATE,EXP DATE,Sailing Date,Arrived,Booking Status
"1212976258626131",2026-01-26,,2026-02-12,JF1380,261,,,,,,,Goods on sea,,,,On Sea,SQ-EARPLUGS-PINK-70,B0FJYRK3GZ,JIANGYIN-02,1380002,JIANGYINSIAN,2026-03-23,4.76,5025,,,,,2026-02-13,,
"1212976258626132",2026-01-26,,2026-02-12,JF1386,261,,,,,,,Goods on sea,,,,On Sea,SQ-EARPLUGS-BLUE-70,B0FJYNR9XP,JIANGYIN-02,1386002,JIANGYINSIAN,2026-03-23,2.84,3000,,,,,2026-02-13,,
"1212976258626133",2026-01-26,,2026-02-12,JF1384,261,,,,,,,Goods on sea,,,,On Sea,SQ-EARPLUGS-GREY-70,B0FJYMC7KT,JIANGYIN-02,1384002,JIANGYINSIAN,2026-03-23,0.99,1050,,,,,2026-02-13,,
"1212976258626134",2026-01-26,,2026-02-12,JF1385,261,,,,,,,Goods on sea,,,,On Sea,SQ-EARPLUGS-ORG-70,B0FJYPXC8P,JIANGYIN-02,1385002,JIANGYINSIAN,2026-03-23,0.99,1050,,,,,2026-02-13,,
"1212976258626135",2026-01-26,,2026-02-12,JF0170,261,,,,,,,Goods on sea,,,,On Sea,THERAPY-PUTTY5-57G,B08PDK7FFQ,LIKESGREEN-12,0170010,LIKESGREEN,2026-03-23,11.54,7550,,,,,2026-02-13,,
"1212976258626136",2026-01-26,,2026-02-12,JF1092,261,,,,,,,Goods on sea,,,,On Sea,THERAPY-PUTTY-ALT5-57G,B0B2DVNYQK,LIKESGREEN-12,1092011,LIKESGREEN,2026-03-23,9.61,6656,,,,,2026-02-13,,
"1212976258626137",2026-01-26,,2026-02-12,JF1418,261,,,,,,,Goods on sea,,,,On Sea,THERA-PUT-BLUE-57G,B0FTMJ9CQC,LIKESGREEN-12,1418001,LIKESGREEN,2026-03-23,3.59,2976,,,,,2026-02-13,,
"1212976258626138",2026-01-26,,2026-02-12,JF1098,261,,,,,,,Goods on sea,,,,On Sea,THERAPY-BALLS-5,B0B2DY13XB,LIKESGREEN-13,1098011,LIKESGREEN,2026-03-23,1.82,2400,,,,,2026-02-13,,
"1212976258626139",2026-01-26,,2026-02-12,JF1284,261,,,,,,,Goods on sea,,,,On Sea,JFA-AL-TP48MMX10M-3,B0CM4H747B,NINGBOTAPE-11,1284005,NINGBO TAPE,2026-03-23,3.22,2304,,,,,2026-02-13,,
"1212976258626140",2026-01-26,,2026-02-12,JF1338,261,,,,,,,Goods on sea,,,,On Sea,JFA-PVC-ELC-WHT-3,B0DM6CR8G3,NINGBOTAPE-11,1338002,NINGBO TAPE,2026-03-23,1.88,2352,,,,,2026-02-13,,
"1212976258626141",2026-01-26,,2026-02-12,JF1206,261,,,,,,,Goods on sea,,,,On Sea,JFA-CN-AB-02/2H-RD,B0CFYTZ2GY,REALMOULD-09,1206003,"Ninghai Real Plastic Mould Co., Ltd",2026-03-23,2.99,1920,,,,,2026-02-13,,
"1212976258626142",2026-01-26,,2026-02-12,JF1204,261,,,,,,,Goods on sea,,,,On Sea,JFA-CN-AB-02/2H-BL,B0C3VX8NQP,REALMOULD-09,1204007,"Ninghai Real Plastic Mould Co., Ltd",2026-03-23,3.11,2000,,,,,2026-02-13,,
"1212976258626143",2026-01-26,,2026-02-12,JF1177,261,,,,,,,Goods on sea,,,,On Sea,JFA-CN-AB-02/2H-GY,B0CB747D1L,REALMOULD-09,1177010,"Ninghai Real Plastic Mould Co., Ltd",2026-03-23,4.63,2980,,,,,2026-02-13,,
"1212976258626144",2026-01-26,,2026-02-12,JF1205,261,,,,,,,Goods on sea,,,,On Sea,JFA-CN-AB-02/1H-BL,B0C3VXY6F5,REALMOULD-09,1205003,"Ninghai Real Plastic Mould Co., Ltd",2026-03-23,4.63,2980,,,,,2026-02-13,,
"1212976258626145",2026-01-26,,2026-02-12,JF1416,261,,,,,,,Goods on sea,,,,On Sea,"JFA-MOLESKIN-3
","B0D4B5XXRW
",RAYTEK-06,1416001,RAYTEK,2026-03-23,0.45,3000,,,,,2026-02-13,,
"1212976258626146",2026-01-26,,2026-02-12,JF0966,261,,,,,,,Goods on sea,,,,On Sea,PILL2,B0818FSVKX,RENNINGTON-05,0966006,Rennington,2026-03-23,2.40,2700,,,,,2026-02-13,,
"1212976258626147",2026-01-26,,2026-02-12,JF0144,261,,,,,,,Goods on sea,,,,On Sea,Nitbusters-Infinity-Headlice-Comb-FBA,B07ZD8NZYM,ULLWIN-09,0144009,ULLWIN,2026-03-23,0.88,4600,,,,,2026-02-13,,
"1212976258626148",2026-01-26,,2026-02-12,JF0189,261,,,,,,,Goods on sea,,,,On Sea,COMBAN-BOX8,B08V5GXV98,ULLWIN-08,0189006,ULLWIN,2026-03-23,4.88,2496,,,,,2026-02-13,,
"1213135279923020",2026-02-05,,2026-02-12,JF1402,264,,,,,,,Goods on sea,,,,Booked,CUTI-ADH-10x15-50,B0FQP8P86D,SUNMED-74,1402001,SUNMED,2026-03-30,1.46,480,,,,,2026-02-16,,
"1213135279923021",2026-02-05,,2026-02-12,JF0235,264,,,,,,,Goods on sea,,,,Booked,CUTI-PLTP-BR1-200,B0DB8QG7F3,SUNMED-75,235003,SUNMED,2026-03-30,0.16,400,,,,,2026-02-16,,
"1213135279923022",2026-02-05,,2026-02-12,JF0121,264,,,,,,,Goods on sea,,,,Booked,PLBD-BL4-100,B01MD1QIWE,SUNMED-75,121005,SUNMED,2026-03-30,0.11,300,,,,,2026-02-16,,
"1213135279923023",2026-02-05,,2026-02-12,JF0164,264,,,,,,,Goods on sea,,,,Booked,PLWP-BR1-100,B01N21WDY5,SUNMED-75,0164013,SUNMED,2026-03-30,0.19,500,,,,,2026-02-16,,
"1213135279923024",2026-02-05,,2026-02-12,JF1437,264,,,,,,,Goods on sea,,,,Booked,HB-CB-5CM-16ASSORT,B0FYGJ6LT8,SUNMED-78,1437001,SUNMED,2026-03-30,10.00,2400,,,,,2026-02-16,,
"1213135279923025",2026-02-05,,2026-02-12,JF1438,264,,,,,,,Goods on sea,,,,Booked,HB-CB-5CM-16PINK,B0FYGGXBP2,SUNMED-78,1438001,SUNMED,2026-03-30,4.00,960,,,,,2026-02-16,,
"1213135279923026",2026-02-05,,2026-02-12,JF1439,264,,,,,,,Goods on sea,,,,Booked,HB-CB-5CM-16WHITE,B0FYGNF552,SUNMED-78,1439001,SUNMED,2026-03-30,8.30,1992,,,,,2026-02-16,,
"1213135279923027",2026-02-05,,2026-02-12,JF1440,264,,,,,,,Goods on sea,,,,Booked,HB-CB-5CM-16BLACK,B0FYGFX18G,SUNMED-78,1440001,SUNMED,2026-03-30,10.00,2400,,,,,2026-02-16,,
"1213135279923028",2026-02-05,,2026-02-12,JF1341,264,,,,,,,Goods on sea,,,,Booked,CUTI-TWD-80x150-10,B0F48QHKL4,SUNMED-79,1341002,SUNMED,2026-03-30,3.18,4800,,,,,2026-02-16,,
"1213135279923029",2026-02-05,,2026-02-12,JF1339,264,,,,,,,Goods on sea,,,,Booked,CUTI-TWD-60x80-10,B0F48QHDVB,SUNMED-79,1339002,SUNMED,2026-03-30,1.30,3520,,,,,2026-02-16,,
"1213135279923030",2026-02-05,,2026-02-12,JF0953,264,,,,,,,Goods on sea,,,,Booked,JFA-SGS-7.5x7.5-100,B07PLGDR5R,SUNMED-79,953010,SUNMED,2026-03-30,4.91,2800,,,,,2026-02-16,,
"1213135279923031",2026-02-05,,2026-02-12,JF0927,264,,,,,,,Goods on sea,,,,Booked,PLCSX4,B096B7B614,SUNMED-79,927013,SUNMED,2026-03-30,1.22,3150,,,,,2026-02-16,,
"1213135279923032",2026-02-05,,2026-02-12,JF0954,264,,,,,,,Goods on sea,,,,Booked,JFA-SGS-10x10CM-100,B07PHGBFQK,SUNMED-79,954013,SUNMED,2026-03-30,5.62,1968,,,,,2026-02-16,,
"1213135279923033",2026-02-05,,2026-02-12,JF1164,264,,,,,,,Goods on sea,,,,Booked,JFA-CNFBG-10x4-24,B0BGSX12WP,SUNMED-79,1164006,SUNMED,2026-03-30,0.65,180,,,,,2026-02-16,,
"1213135279923034",2026-02-05,,2026-02-12,JF0923,264,,,,,,,Goods on sea,,,,Booked,DRADH-X3-30,B097PWLM3L,SUNMED-79,923010,SUNMED,2026-03-30,2.94,2000,,,,,2026-02-16,,
"1213135279923035",2026-02-05,,2026-02-12,JF1213,264,,,,,,,Goods on sea,,,,Booked,JFA-SGS-10X20-100,B0C4FNMC4C,SUNMED-79,1213007,SUNMED,2026-03-30,2.30,480,,,,,2026-02-16,,
"1213135279923036",2026-02-05,,2026-02-12,JF0116,264,,,,,,,Goods on sea,,,,Booked,TPMP-2.5CMX10M-12,B078TLL72H,SUNMED-79,116011,SUNMED,2026-03-30,0.51,650,,,,,2026-02-16,,
"1213135279923037",2026-02-05,,2026-02-12,JF1294,264,,,,,,,Goods on sea,,,,Booked,TPMP-1.25CMX10M-2,B0D6L53JLB,SUNMED-80,1294005,SUNMED,2026-03-30,0.53,6500,,,,,2026-02-16,,
"1213135279923038",2026-02-05,,2026-02-12,JF0115,264,,,,,,,Goods on sea,,,,Booked,TPMP-1.25CMX10M-24,B084YYWW7B,SUNMED-80,115006,SUNMED,2026-03-30,0.75,950,,,,,2026-02-16,,
"1213135279923039",2026-02-05,,2026-02-12,JF1436,264,,,,,,,Goods on sea,,,,Booked,HB-PLWP-BRX6-200,B0FXHJ7FGN,SUNMED-81,1436001,SUNMED,2026-03-30,1.50,1500,,,,,2026-02-16,,
"1213135279923040",2026-02-05,,2026-02-12,JF1435,264,,,,,,,Goods on sea,,,,Booked,HB-PLBD-BRX6-200,B0FXHDVH72,SUNMED-81,1435001,SUNMED,2026-03-30,1.50,1500,,,,,2026-02-16,,
"1213135279923041",2026-02-05,,2026-02-12,JF1426,264,,,,,,,Goods on sea,,,,Booked,HB-PLBD-BRX6-100,B0FXHFXL51,SUNMED-81,1426001,SUNMED,2026-03-30,1.46,2880,,,,,2026-02-16,,
"1213135279923042",2026-02-05,,2026-02-12,JF1425,264,,,,,,,Goods on sea,,,,Booked,HB-PLWP-BRX6-100,B0FXHH2VRH,SUNMED-81,1425001,SUNMED,2026-03-30,1.46,2880,,,,,2026-02-16,,
"1213135279923043",2026-02-05,,2026-02-12,JF1415,264,,,,,,,Goods on sea,,,,Booked,CUTI-PLTP-2SIZES-50,B0FW5RXKFN,SUNMED-81,1415001,SUNMED,2026-03-30,1.26,3120,,,,,2026-02-16,,
"1213121706994631",2026-02-05,,2026-02-12,JF0974,265,,,,,,,Goods on sea,,,,Booked,Sick-Bowls-50-FBA,B07L4627TB,DELIFE-09,974005,DELIFE,2026-04-13,28.98,2196,,,,,2026-03-02,,
"1213121706994632",2026-02-05,,2026-02-12,JF1444,265,,,,,,,Goods on sea,,,,Booked,HB-SAL20-30,B0G44XSVYD,LONGBOW-10,1444001,Longbow,2026-04-13,7.61,3990,,,,,2026-03-02,,
"1213121706994633",2026-02-05,,2026-02-12,JF1177,265,,,,,,,Goods on sea,,,,Booked,JFA-CN-AB-02/2H-GY,B0CB747D1L,REALMOULD-09,1177010,"Ninghai Real Plastic Mould Co., Ltd",2026-04-13,3.11,2000,,,,,2026-03-02,,
"1213121706994634",2026-02-05,,2026-03-06,JF1206,265,,,,,,,Goods on sea,,,,Booked,JFA-CN-AB-02/2H-RD,B0CFYTZ2GY,REALMOULD-09,1206003,"Ninghai Real Plastic Mould Co., Ltd",2026-04-13,3.11,1860,,,,,2026-03-02,,
"1213121706994635",2026-02-05,,2026-03-06,JF1204,265,,,,,,,Goods on sea,,,,Booked,JFA-CN-AB-02/2H-BL,B0C3VX8NQP,REALMOULD-09,1204007,"Ninghai Real Plastic Mould Co., Ltd",2026-04-13,3.11,1940,,,,,2026-03-02,,
"1213121706994636",2026-02-05,,2026-02-12,JF1205,265,,,,,,,Goods on sea,,,,Booked,JFA-CN-AB-02/1H-BL,B0C3VXY6F5,REALMOULD-09,1205003,"Ninghai Real Plastic Mould Co., Ltd",2026-04-13,3.11,2000,,,,,2026-03-02,,
"1213121706994637",2026-02-05,,2026-02-12,JF0966,265,,,,,,,Goods on sea,,,,Booked,PILL2,B0818FSVKX,RENNINGTON-05,966006,Rennington,2026-04-13,9.59,10800,,,,,2026-03-02,,
"1213121706994638",2026-02-05,,2026-02-12,JF1363,265,,,,,,,Goods on sea,,,,Booked,CUTI-SFD-5x5-10,B0DVT7HML5,ROOSIN-34,260101,ROOSIN,2026-04-13,0.35,480,,,,,2026-03-02,,
"1213121706994639",2026-02-05,,2026-02-12,JF1049,265,,,,,,,Goods on sea,,,,Booked,CUTI-PG-7.5x7.5-20,B09N7L9JQ7,ROOSIN-33,260101,ROOSIN,2026-04-13,0.04,80,,,,,2026-03-02,,
"1213121706994640",2026-02-05,,2026-02-12,JF1376,265,,,,,,,Goods on sea,,,,Booked,CLARISURE-UTS100,B0FB5KN75X,YERCON-02,1376002,Yercon,2026-04-13,2.47,5000,,,,,2026-03-02,,
"1213121706994641",2026-02-05,,2026-02-12,JF1417,265,,,,,,,Goods on sea,,,,Booked,CLARISURE-UTS-30,B0FTZHPW5R,YERCON-04,1417002,Yercon,2026-04-13,1.86,6900,,,,,2026-03-02,,
"1213121706994642",2026-02-05,,2026-02-12,JF1101,265,,,,,,,Goods on sea,,,,Booked,5ML-ORSYR-BP-10,B09R5X1PDQ,ZYMA-18,1101009,ZYMA,2026-04-13,1.85,1188,,,,,2026-03-02,,
"1213263189989834",2026-02-13,,2026-03-20,JF1241,268,,,,,,,Goods on sea,,,,,GLV-BLK-DMD-M50,B0BYPK7MTS,INTCO-08,25018328,INTCO,2026-04-25,6.30,2800,,,,,2026-03-06,,Delivered
"1213263189989835",2026-02-13,,2026-03-20, JF1235,268,,,,,,,Goods on sea,,,,,JFA-GLV-PINK-S100,B0BYFBWV5R,INTCO-08,25018328,INTCO,2026-04-25,8.35,3360,,,,,2026-03-06,,Delivered
"1213263189989837",2026-02-13,,2026-02-13, JF1235,269,,,,,,,Goods on sea,,,,,JFA-GLV-PINK-S100,B0BYFBWV5R,INTCO-08,25018328,INTCO,,1.61,800,,,,,,,
