jfcode,name,status,product_id,sku,image_url
HW0145,Hangerworld 10 Satin Hangers 38 cm Pink Cotton Padded for Tops Dresses,End Of Line,9430,HW0145,https://m.media-amazon.com/images/I/31UAwQ3e7xL.jpg
HW0207,PH-43-TOP-BLACK_1,Live,3259,HW0207,https://m.media-amazon.com/images/I/71SYso-6PfL._AC_SL1500_.jpg
HW0238,WH-BELT-SWIVEL-CEDAR_2,End Of Line,8518,HW0238,https://m.media-amazon.com/images/I/71vz3VpqmVL._AC_SL1500_.jpg
HW0293,Hangerworld 30cm Black Shoulder Covers with Gusset - Pack of 20,Live,,,
HW0309,"Hangerworld White Plastic 29cm Coat Hangers with Trouser/Skirt Bar - For Baby & Toddler Clothes, Pack of 20",Live,3204,HW0309,https://m.media-amazon.com/images/I/81eGoUbDLHL._AC_SL1500_.jpg
HW0310,HANGERWORLD 40 White Plastic 29cm Childrens Coat Clothes Garment Trouser Skirt Bar Hangers.,End Of Line,3205,HW0310,https://m.media-amazon.com/images/I/81eGoUbDLHL._AC_SL1500_.jpg
HW0322,Hangerworld 20 Pink 30cm Childrens Plastic Top Coat Clothes Garment Baby Toddler Hangers.,Live,8619,HW0322,https://m.media-amazon.com/images/I/61JNn0IrP3L._AC_SL1500_.jpg
HW0349,Hangerworld Medium Black Wedding Dress Bridal Gown pH Neutral Space Saving Storage Travel Box with Acid Free Tissue,Live,8666,HW0349,https://m.media-amazon.com/images/I/71CirBRONcL._AC_SL1500_.jpg
HW0612,"Hangerworld Pack of Clear Polythene Shirt Suit Dress Garment Clothes Cover Bags 80 Gauge (54"" (50 Pack))",End Of Line,9432,HW0612,https://m.media-amazon.com/images/I/61gLfzu9VUL._AC_SL1500_.jpg
HW0617,Hangerworld 50 Clear 40inch Dry 80 Gauge Cleaning Laundrette Polythylene Garment Clothes Cover Protector Bags,End Of Line,9334,HW0617,https://m.media-amazon.com/images/I/71pLt59qLBL._AC_SL1500_.jpg
HW0619,Hangerworld 20 Clear 40inch Dry Cleaning Laundry Polythylene Garment Clothes Cover Protector Bags 80 Gauge,Live,9435,HW0619,https://m.media-amazon.com/images/I/71pLt59qLBL._AC_SL1500_.jpg
HW0624,HANGERWORLD 50 Clear 45inch Dry Cleaning Laundry Polythylene Garment Clothes Cover Protector Bags 80 Gauge,End Of Line,9332,HW0624,https://m.media-amazon.com/images/I/61-3c2MxsVL._AC_SL1500_.jpg
HW0625,HANGERWORLD 20 Clear 45inch Dry Cleaning Laundry Polythylene Garment Cover Protector Bags 80 Gauge,Live,9328,HW0625,https://m.media-amazon.com/images/I/61-3c2MxsVL._AC_SL1500_.jpg
HW0769,Hangerworld 12 Collapsible Plastic Clothes Hangers 40 cm Black Space Saving for Travel,End Of Line,9286,HW0769,https://m.media-amazon.com/images/I/31fj5Db2p2L.jpg
HW0844,HANGERWORLD 20 Simply Essential Value Wooden Trouser Bar Hangers – 45cm,End Of Line,9358,HW0844,https://m.media-amazon.com/images/I/71O5vizmZxL._AC_SL1500_.jpg
HW0951,Hangerworld 100 Black Metal Hangers (40CM),Live,9685,HW0951,https://m.media-amazon.com/images/I/7140g0S6EYL._AC_SL1500_.jpg
HW0952,HANGERWORLD 20 Pack Black Wire Hangers,End Of Line,9686,HW0952,https://m.media-amazon.com/images/I/7140g0S6EYL._AC_SL1500_.jpg
HW0959,HANGERWORLD 50 Pack Multi Colored Wire Hangers,End Of Line,9690,HW0959,https://m.media-amazon.com/images/I/81RGgQs73VL._AC_SL1500_.jpg
HW0982,"HANGERWORLD 20 Pack Clear Dry Cleaning Plastic Garment Bag - 38inch, 100 Gauge Thick",End Of Line,9330,HW0982,
HW0983,"HANGERWORLD 50 Pack Clear Dry Cleaning Plastic Garment Bag - 38inch, 100 Gauge Thick",End Of Line,,,
HW1093,Silver Metal Wire Clothes Hangers (500 Pack),Live,9943,HW1093,
JF0131,JFA Adhesive Wound Dressings 60 x 70mm single pouch,End Of Line,,,
JF0133,JFA Adhesive Wound Dressings 60 x 86mm single pouch,Live,,,
JF0135,JFA Adhesive Wound Dressings 80 x 100mm single pouch,Live,,,
JF0137,JFA Adhesive Wound Dressings 80 x 150mm single pouch,Live,,,
JF0139,JFA Adhesive Wound Dressings 100 x 200mm single pouch,Live,,,
JF0165,"JFA Wound Closure Strips 3 x 75mm, 5 strips, single pouch",Live,,,
JF0167,"JFA Wound Closure Strips 6 x 75mm, 3 strips, single pouch",Live,,,
JF0171,"JFA Therapy Putty 57g Extra Soft, Tan",Live,,,
JF0172,"JFA Therapy Putty 57g Soft, Yellow",Live,,,
JF0173,"JFA Therapy Putty 57g Medium, Red",Live,,,
JF0174,"JFA Therapy Putty 57g Firm, Green",Live,,,
JF0175,"JFA Therapy Putty 57g Extra Firm, Blue",Live,,,
JF0178,JFA Face Masks EN14683 Type IIR Fluid Resistant X50,End Of Line,2301,JF0178,
JF0184,SALINE-INH-2.5ML-20,End Of Line,2519,JF0184,
JF0190,JFA Compression Bandages 7.5cm (single),Live,,,
JF0191,JFA Compression Bandages 10cm (single),Live,,,
JF0192,Lemon Glycerin Swabs POUCH,Live,,,
JF0196,JFA Conforming Bandage 7.5cm x 4m (single),Live,,,
JF0198,BUNION-RELIEF-KIT,End Of Line,2218,JF0198,
JF0200,JFA Medical Glycerin Swabsticks Blackcurrant - Box of 75 POUCH,Live,,,
JF0201,JFA HSE Eye pad dressing,Live,,,
JF0203,JFA HSE Medium dressing,Live,,,
JF0205,JFA HSE Large dressing,Live,,,
JF0207,JFA HSE Triangular dressing - FAK,Live,,,
JF0218,JFA Microporous Tape Single Item 2.5cm x 5m,Live,,,
JF0231,Guardeon Barrier Cream 120G - Single,Live,,,
JF0232,HSE Sterile Eye Bandage - Box of 1 for Eye Wash Station,Live,9786,JF0232,
JF0780,"Bonnaqua Lubricating Jelly, 5g sachet, single pouch",Live,,,
JF0785,KNINE-BAN5CMX12,End Of Line,2384,JF0785,
JF0786,"Cutiderm Foam Dressings 10x10cm, single pouch",Live,,,
JF0788,"Prosorb Absorbent Dressing Pads 10 x 10cm, single pouch",Live,,,
JF0790,"Prosorb Absorbent Dressing Pads 10 x 20cm, single pouch",Live,,,
JF0794,"Cutiderm Adhesive Wound Dressing 60x70mm, single pouch",Live,,,
JF0796,"Cutiderm Adhesive Wound Dressing 80x100mm, single pouch",Live,,,
JF0798,"Cutiderm Adhesive Wound Dressing 80x150mm, single pouch",Live,,,
