jf_code,min_order_qty,max_order_qty,order_count,source
HW0473,5,5,1,non-PO fallback
HW0114,18,18,1,non-PO fallback
HW0116,40,40,1,PO
HW1093,50,50,1,non-PO fallback
HW0117,71,71,1,PO
HW0346,78,204,2,PO
HW0794,80,100,2,PO
HW0120,100,300,2,PO
HW0266,100,126,2,PO
HW0736,100,450,2,PO
HW0352,110,110,1,PO
JF0933,120,1020,2,PO
JF1038,120,1440,3,PO
HW0629,126,126,1,PO
HW0122,140,200,2,PO
HW0293,140,140,1,PO
HW0231,150,150,1,PO
HW0358,150,570,2,PO
HW0488,150,150,1,PO
HW0150,160,160,1,PO
HW0107,200,200,1,PO
HW0149,200,360,2,PO
HW0299,200,300,2,PO
HW0490,200,200,1,PO
HW0526,200,200,1,PO
HW1079,200,200,1,PO
JF1367,200,200,1,non-PO fallback
HW0513,204,204,1,PO
HW0112,216,324,2,PO
HW0318,230,230,1,PO
HW0105,250,1000,2,PO
HW0141,250,500,2,PO
HW0737,250,500,2,PO
HW0347,252,564,2,PO
HW0482,258,3402,3,PO
HW0569,268,268,1,PO
HW0571,270,270,1,PO
HW0134,290,1000,2,PO
HW0111,300,300,1,PO
HW0161,300,300,1,PO
HW0265,300,300,1,PO
HW0477,300,300,1,PO
HW0484,300,300,1,PO
HW0732,300,300,1,PO
HW0827,300,300,1,non-PO fallback
HW0419,320,320,1,PO
JF0951,360,452,2,PO
JF1342,360,2000,3,PO
JF0129,400,2000,3,PO
HW0121,408,408,1,PO
HW0416,440,3000,3,PO
JF1363,480,3040,5,PO
HW0351,500,700,2,PO
HW0356,500,500,1,PO
HW0378,500,900,2,PO
HW0385,500,500,1,PO
HW0436,500,500,1,PO
HW0481,500,500,1,PO
JF0945,500,500,1,PO
JF1053,500,500,1,PO
HW0697,501,501,1,PO
HW0155,504,504,1,PO
HW0388,504,600,2,PO
JF1164,504,1512,3,PO
HW0596,510,510,1,PO
HW0643,528,528,1,PO
JF1438,540,540,1,PO
HW0671,546,546,1,PO
HW0353,570,600,2,PO
HW0139,600,600,1,PO
HW0300,600,600,1,PO
HW0381,600,600,1,PO
HW0392,600,700,2,PO
HW1097,600,600,1,non-PO fallback
HW0113,624,624,1,PO
JF1365,624,1008,3,PO
JF0206,640,1600,2,PO
HW0167,648,648,1,PO
HW0125,650,650,1,PO
HW0406,672,672,1,PO
JF1069,684,2016,3,PO
