jf_code,asin,pan_eu_status,expires,title
"","B0009DSNUW","Enrolment ended","Wed Feb 12 23:00:15 UTC 2020","Jan Marini - Bioglycolic Facial Cleanser 237ml"
"","B000GG7UFG","Enrolment ended","Tue Oct 29 19:27:13 UTC 2019","Tegaderm Hydrocolloid dressing (Pack of 5)"
"","B000VIO55C","Enrolment ended","Wed Feb 12 23:00:13 UTC 2020","Jan Marini Transformation Eye Cream-For aging Skin (0.5 oz)"
"","B001BBY7M4","Enrolment ended","Sun Dec 29 16:04:36 UTC 2019","Jan Marini Bioglycolic Oily Skin Cleansing Gel - 237ml/8oz"
"","B001CTMEHK","Enrolment ended","Sat Jan 25 11:14:31 UTC 2020","Jan Marini Skin Zyme Papaya Mask"
"","B002CMRTSK","Enrolment ended","Wed Feb 12 23:03:40 UTC 2020","Medik8 Retinol 3TR - Advanced 0.3% Vitamin A Serum - Soften the Appearance of Fine Lines and Wrinkles -15ml"
"","B002KGNL5I","Enrolment ended","Sun Dec 29 16:05:04 UTC 2019","Agera Oil-Free Plus Moisturise"
"","B002KGOM6A","Enrolment ended","Sun Dec 29 16:17:09 UTC 2019","Agera Daily Moisturising Protector SPF 25-60g"
"","B002KHBYHO","Enrolment ended","Sun Dec 29 16:04:33 UTC 2019","Agera Microderma Rx System 120ML 2X60ML"
"","B002ZGQ82Q","Enrolment ended","Tue Jun 30 23:59:59 UTC 2020","Sharpsguard DNDD605 Sharps Bin, 5L, Purple"
"","B002ZGVPP6","Enrolment ended","Tue Oct 29 20:11:10 UTC 2019","Owen Mumford Neurotips Testing Pins, 100/Bx by Owen Mumford LTD"
"","B003GRP068","Enrolment ended","Mon Sep 17 12:00:13 UTC 2018","Jan Marini Bioglycolic Resurfacing Body Scrub 237ml/8oz"
"","B003OWDCBK","Enrolment ended","Tue Jun 30 23:59:59 UTC 2020","12.5x12.5cm x 10"
"","B003QHWMB4","Enrolment ended","Sat Jan 25 11:23:51 UTC 2020","Lycogel Make-Up Breathable Camouflage Foundation 20ml IVORY"
"","B003TSTFBU","Enrolment ended","Tue Jun 30 23:59:59 UTC 2020","Primapore - Post-Operative Dressing - 8.3cm x 6cm (x50)"
"","B005AIQQEQ","Enrolment ended","Mon Sep 23 07:25:22 UTC 2019","Tubigrip 1438Molnlycke F Natural, 10m, Elasticated Tubular Bandage"
"","B005MJGUXU","Enrolment ended","Mon Nov 19 23:31:17 UTC 2018","Jan Marini Age Intervention Retinol Plus"
"","B006ZUTZLE","Enrolment ended","Mon Nov 19 23:31:13 UTC 2018","Mene & Moy Stand By Cream C5 - 30ml"
"","B006ZUUEJ6","Enrolment ended","Fri Feb 01 22:26:43 UTC 2019","Mene & Moy Revitalizing Lotion - 150ml"
"","B007GX69PE","Enrolment ended","Sat Jan 25 11:36:42 UTC 2020","VERNAGEL SUPER ABSORBENT POWDER - LIQUID SOLIDIFIER GELLING LOOSE POWDER 475G - 475G"
"","B0084EO2X0","Enrolment ended","Sat Jan 25 11:18:51 UTC 2020","Reynard Bath in Bed Wipes - 33cm x 23cm (Pack of 8)"
"","B009H720W8","Enrolment ended","Sat Jan 25 11:18:49 UTC 2020","VERNAGEL SUPER ABSORBENT POWDER - LIQUID SOLIDIFIER 100 X 6G SACHETS - BED PAN- URINAL- SPILLS - 100"
"","B009LIR44M","Enrolment ended","Sun Jun 10 12:41:28 UTC 2018","Clinell Detergent Wipes (22x28cm) Pack of 200"
"","B00AIMSRUK","Enrolment ended","Sun Nov 10 13:28:39 UTC 2019","Heliocare Ultra 90 Cream SPF50+ / Sun Cream For Face/Daily UVA and UVB Anti-Ageing Sun Block/Combination, Dry and Normal Skin Types/Matte Finish (50ml)"
"","B00B5JZ1BI","Enrolment ended","Sat Jan 25 11:34:05 UTC 2020","Lycogel Breathable Camouflage - Honey 20ml"
"","B00BGR2VX0","Enrolment ended","Mon Nov 19 23:31:13 UTC 2018","Retriderm Serum Mild - 0.5% Retinol, 30 ml/ 1 fl oz"
"","B00BQ0Z9UO","Enrolment ended","Sun Dec 29 15:48:32 UTC 2019","BD Vacutainer Stretch Latex-Free Tourniquet - Box of 25"
"","B00ES6NRGG","Enrolment ended","Wed Feb 12 23:00:51 UTC 2020","Oxygenetix Breathable Foundation 15 ml, Beige"
"","B00EX8TPDS","Enrolment ended","Sat Jan 25 11:23:52 UTC 2020","Premier Waterproof Disposable Draw Sheets (Mattress Protector), Pack of 10, 90 x 210 x 20 cm, Blue"
"","B00EX8TTWA","Enrolment ended","Mon Nov 19 23:31:13 UTC 2018","Universal Foam Swabsticks, Pack of 250"
"","B00EX8TWX6","Enrolment ended","Sat Jan 25 11:23:48 UTC 2020","Premier FinePore Surgical Tape 1.25 cm x 9.1 m, Pack of 24"
"","B00EX8TXYE","Enrolment ended","Tue Oct 29 20:11:06 UTC 2019","PremierPore Adhesive Absorbent Island Dressing, Pack of 50, 5 x 7 cm"
"","B00GGQTCQ0","Enrolment ended","Sat Jan 25 11:09:31 UTC 2020","Clinell Indicator Tape, 3.8cm x 100m"
"","B00K3MJLL4","Enrolment ended","Tue Jun 30 23:59:59 UTC 2020","Clinical Waste Bags (Yellow) - Heavy Duty Sacks - 17in x 25in (x25)"
"","B00K8YOA2W","Enrolment ended","Sun Dec 29 16:39:26 UTC 2019","PremierPore VP Showerproof Adhesive Island Dressing, Pack of 50, 10 x 15cm"
"","B00K8YRCLI","Enrolment ended","Sun Dec 29 15:46:53 UTC 2019","PremierPore VP Showerproof Adhesive Island Dressing, Pack of 50, 10 x 20cm"
"","B00KE0AZBA","Enrolment ended","Tue Jun 30 23:59:59 UTC 2020","Disposable Toothbrushes, with Paste, Individually Wrapped, Box of 100"
"","B00PETB4YI","Enrolment ended","Mon Nov 19 23:31:13 UTC 2018","Universal Drainable Urine Bag 2 Litre with Lever tap (x10)"
