jf_code,sku,product_id,image_url
HW0100,HW0100,3561,https://m.media-amazon.com/images/I/61lJDGMBlbL._AC_SL1500_.jpg
HW0101,HW0101,3562,https://m.media-amazon.com/images/I/71Gfle03I2L._AC_SL1500_.jpg
HW0102,HW0102,9453,https://m.media-amazon.com/images/I/717UmPuarBL._AC_SL1500_.jpg
HW0103,HW0103,3564,https://m.media-amazon.com/images/I/71-LTmtiRRL._AC_SL1500_.jpg
HW0105,HW0105,3566,https://m.media-amazon.com/images/I/71o31B7+4GL._AC_SL1500_.jpg
HW0106,HW0106,3569,https://m.media-amazon.com/images/I/711z+8Jn8vL._AC_SL1500_.jpg
HW0107,HW0107,3571,https://m.media-amazon.com/images/I/71gdNSMrlCL._AC_SL1500_.jpg
HW0108,HW0108,3572,https://m.media-amazon.com/images/I/61OOG7HnizL._AC_SL1500_.jpg
HW0109,HW0109,3573,https://m.media-amazon.com/images/I/711YBRV5EHL._AC_SL1500_.jpg
HW0110,HW0110,3574,https://m.media-amazon.com/images/I/71fAChp3tjL._AC_SL1500_.jpg
HW0111,HW0111,3575,https://m.media-amazon.com/images/I/716aIypblrL._AC_SL1500_.jpg
HW0112,HW0112,3576,https://m.media-amazon.com/images/I/71s3YKTxCuL._AC_SL1500_.jpg
HW0113,HW0113,3577,https://m.media-amazon.com/images/I/719VwsLp9PL._AC_SL1500_.jpg
HW0114,HW0114,3578,https://m.media-amazon.com/images/I/71Qzq1dwF7L._AC_SL1500_.jpg
HW0115,HW0115,8436,https://m.media-amazon.com/images/I/61RRDB+FA+L._AC_SL1500_.jpg
HW0116,HW0116,3579,https://m.media-amazon.com/images/I/61SP2fwRC-L._AC_SL1500_.jpg
HW0117,HW0117,8437,https://m.media-amazon.com/images/I/61RRDB+FA+L._AC_SL1500_.jpg
HW0119,HW0119,3582,https://m.media-amazon.com/images/I/61p69seCgKL._AC_SL1500_.jpg
HW0120,HW0120,3580,https://m.media-amazon.com/images/I/41adYdO5nrL.jpg
HW0121,HW0121,9572,https://m.media-amazon.com/images/I/81f1otNj-6L._AC_SL1500_.jpg
HW0122,HW0122,3553,https://m.media-amazon.com/images/I/71UmtMnc1EL.__AC_SX300_SY300_QL70_ML2_.jpg
HW0123,HW0123,3552,https://m.media-amazon.com/images/I/71fOJ84gGsL._AC_SL1500_.jpg
HW0125,HW0125,3550,
HW0126,HW0126,3549,https://m.media-amazon.com/images/I/312Ubg0UZ+L.jpg
HW0127,HW0127,8444,https://m.media-amazon.com/images/I/31QMLUpW+sL.jpg
HW0128,HW0128,8443,https://m.media-amazon.com/images/I/61zdB-lmOeL._AC_SL1500_.jpg
HW0129,HW0129,3547,https://m.media-amazon.com/images/I/61hOvWbTz5L._AC_SL1500_.jpg
HW0130,HW0130,3548,https://m.media-amazon.com/images/I/61hOvWbTz5L._AC_SL1500_.jpg
HW0131,HW0131,3546,https://m.media-amazon.com/images/I/71vFGnsglBL._AC_SL1500_.jpg
HW0133,HW0133,8441,https://m.media-amazon.com/images/I/31IcJhQi40L.jpg
HW0134,HW0134,3544,https://m.media-amazon.com/images/I/71k5UgyZ6zL._AC_SL1500_.jpg
HW0135,HW0135,9465,https://m.media-amazon.com/images/I/61ynuiV9EEL._AC_SL1500_.jpg
HW0138,HW0138,3539,https://m.media-amazon.com/images/I/71VosGs3bCL._AC_SL1500_.jpg
HW0139,HW0139,3540,https://m.media-amazon.com/images/I/71VosGs3bCL._AC_SL1500_.jpg
HW0140,HW0140,3560,https://m.media-amazon.com/images/I/71HabNTMSfL._AC_SL1500_.jpg
HW0141,HW0141,8450,https://m.media-amazon.com/images/I/71QzEw-b9aL._AC_SL1500_.jpg
HW0142,HW0142,8449,https://m.media-amazon.com/images/I/71lTABB2I7L._AC_SL1500_.jpg
HW0144,HW0144,3538,https://m.media-amazon.com/images/I/31NVc9kuyfL.jpg
HW0146,HW0146,3558,https://www.hangerworld.com/pub/media/catalog/product/c/h/ch-30-top-black-2-web_593_1_1.jpg
HW0149,HW0149,9725,https://m.media-amazon.com/images/I/31orWVnNpQL.jpg
HW0150,HW0150,9699,https://m.media-amazon.com/images/I/61c5JsdRHKL._AC_SL1500_.jpg
HW0151,HW0151,3568,https://m.media-amazon.com/images/I/61Pg+ETcdsL._AC_SL1500_.jpg
HW0152,HW0152,3570,https://m.media-amazon.com/images/I/71u1MtJMDaL._AC_SL1500_.jpg
HW0155,HW0155,3427,https://m.media-amazon.com/images/I/71xwQKDEbjL._AC_SL1500_.jpg
HW0159,HW0159,8451,https://m.media-amazon.com/images/I/61Pg+ETcdsL._AC_SL1500_.jpg
HW0161,HW0161,8452,https://m.media-amazon.com/images/I/712E0a74FGL._AC_SL1500_.jpg
HW0163,HW0163,4048,https://m.media-amazon.com/images/I/71ONrUHgwzL._AC_SL1500_.jpg
HW0164,HW0164,4112,https://m.media-amazon.com/images/I/81BnKXu0+RL._AC_SL1500_.jpg
HW0167,HW0167,8457,https://m.media-amazon.com/images/I/71I7z6BzVwL._AC_SL1500_.jpg
HW0168,HW0168,9277,https://m.media-amazon.com/images/I/71PteE7Hh5L._AC_SL1500_.jpg
HW0195,HW0195,9599,https://m.media-amazon.com/images/I/71ogTxYen4L._AC_SL1500_.jpg
HW0230,HW0230,8510,https://m.media-amazon.com/images/I/41U5+PQN+-L.jpg
HW0231,HW0231,9613,https://m.media-amazon.com/images/I/71SIyJu8lWL._AC_SL1500_.jpg
HW0233,HW0233,8513,https://m.media-amazon.com/images/I/71Tm3uh0xRL._AC_SL1500_.jpg
